canonical_variable,subcategory,primary_unit,accumulation_window_applicable,accumulation_window_units,persistence_applicable,persistence_units,probability_applicable,lead_time_applicable,lead_time_units,geographic_scope_required,example_statement,hazard_types,notes,data_source,row_count,source_eap_count
Agricultural Impact,Crop damage,%,no,n/a,no,n/a,no,yes,months,optional,Ministry of Agriculture Crop Forecast Survey Index (CFSI) projects 40% or greater crop losses,drought,,auto_inferred,1,1
Agricultural Impact,Crop yield,%,no,n/a,no,n/a,no,yes,months,optional,Crop yield reduction predicted to be more than 50% based on LEAP index,drought,,auto_inferred,1,1
Agricultural Impact,Fodder availability,%,no,n/a,no,n/a,no,yes,months,optional,Fodder deficit of 40% or more,drought,,auto_inferred,1,1
Fire Risk,Ignition probability,%,no,n/a,no,n/a,yes,yes,days,optional,Ignition probability equal to or greater than 70%,wildfire,,auto_inferred,1,1
Humidity,Relative humidity,%,no,n/a,no,n/a,no,yes,days,optional,Observed Conditions: Relative humidity (Rh) of 45 percent or higher in the respective city where Tmax condition is met,heatwave|wildfire,,auto_inferred,2,2
Hydrological Flow,Flood extent,%|cm|level|levels|people,no,n/a,conditional,n/a,optional,yes,days|hours|months,optional,Predicted increase in Sudd inundation extent over the next two months greater than 5% compared to seasonal minimum,flood|volcanic ash,,auto_inferred,6,5
Hydrological Flow,River flow,cm|cusecs|days|m|metres|unitless|years,no,n/a,yes,days,yes,yes,days|hours,optional,"River flow above 150,000 cusecs at Nowshera station of Kabul River predicted by flood bulletin C and significant flood warnings/advisories with 3-5 days lead time",flood,,auto_inferred,42,10
Infectious Disease Incidence,Cholera cases,%|cases,yes,weeks,no,n/a,no,yes,days|hours|months,optional,One confirmed cholera case reported by EPHI in a neighbouring woreda/district of the 20 identified woredas/districts within the same country or neighboring district of bordering country,cholera,,auto_inferred,19,4
Infectious Disease Incidence,Dengue cases,cases|times average caseload,no,n/a,no,n/a,no,yes,weeks,optional,"Weekly dengue caseload exceeding 1,500 cases in May, June, July, December, and January",dengue,,auto_inferred,2,1
Other,ENSO index,K,no,n/a,no,n/a,no,yes,months,optional,Nino3.4 index equal or greater than 0.5K in NDJ average forecast issued in July,drought,,auto_inferred,1,1
Other,Forecast extremity metric,n/a,no,n/a,no,n/a,no,yes,days,optional,Weekly Extreme Forecast Index (EFI) from ECMWF model greater than 0.8,flood,,auto_inferred,1,1
Other,Other,n/a,yes,hours,no,n/a,no,no,n/a,optional,Predicted water levels of Babai and West Rapti rivers to rise to their existing danger levels at Chepang and Kusum stations respectively within next 48 hours,cold wave|drought|flood|heatwave|storm,,auto_inferred,17,13
Population Impact,Affected count,%|IPC phase|index|months|people|tercile,no,n/a,no,n/a,yes,yes,days|hours|months,optional,Vulnerability Assessment Analysis report issued in January projects 20% of the population in drought-induced IPC Phase 3 and 4 in January,cholera|cold wave|drought|flood|population movement|storm,,auto_inferred,26,13
Population Impact,Mortality,%,no,n/a,no,n/a,no,yes,days,optional,Category 3 – 30% or higher excess mortality (ranging upwards as high as 45% to 65% excess daily mortality),heatwave,,auto_inferred,1,1
Population Impact,Mortality excess,%,no,n/a,no,n/a,no,yes,days,optional,Trigger threshold: Category 3 with predicted excess mortality of 45% or higher,heatwave,,auto_inferred,3,1
Precipitation,Seasonal total,%|counties|days|event|mm|months|percentile|tercile|years,conditional,n/a,yes,days,yes,yes,days|months|weeks,optional,"If first trigger not activated, activation requires IBF model detection of drought by April and official drought declaration by Government of Zimbabwe",cold wave|drought|flood|heatwave,,auto_inferred,55,21
Precipitation,Total rainfall,%|days|mm|mm/day|percentile|regions,yes,days|hours|weeks,yes,days,yes,yes,days|months|weeks,optional,"Numerical weather prediction (NWP) or special weather advisories predict extreme and widespread rainfall for next three days across Babai and West Rapti basin areas and districts, provided rivers are flowing at stage level less than 2m below existing danger level",cholera|dengue|drought|extreme rainfall|flood|storm,,auto_inferred,38,18
Temperature,Cold Wave,event,no,n/a,conditional,n/a,optional,yes,days,optional,Forecast of cold wave with a lead time of 4 days,cold wave,,auto_inferred,1,1
Temperature,Cold wave event,%,no,n/a,conditional,n/a,yes,yes,days,optional,72-hour forecast confirmation with at least 75% probability of cold wave occurrence,cold wave,,auto_inferred,1,1
Temperature,Daytime temperature,°C,no,n/a,yes,days,optional,yes,days,optional,Day temperature exceeding 39.5°C in the North for 4 consecutive days during July-August,heatwave,,auto_inferred,2,1
Temperature,General temperature,degrees|percentile|°C,no,n/a,conditional,n/a,yes,yes,days,optional,"Region-specific temperature thresholds for Orange level: Northern Kazakhstan -40°C, Akmola -40°C, Kostanay -40°C, Pavlodar -40°C, Eastern Kazakhstan (including Abay) -40°C, Karaganda -35°C",cold wave|heatwave,,auto_inferred,6,4
Temperature,Heat index,percentile|°C,no,n/a,yes,days,optional,yes,days,optional,Heat Index corresponds to more than 90th percentile values for summer months (March-May),heatwave,,auto_inferred,4,2
Temperature,Heatwave,days,no,n/a,conditional,n/a,optional,yes,days,optional,Forecast lead time maximum 5 days including 3 days heatwave duration,heatwave,,auto_inferred,1,1
Temperature,Heatwave intensity,event,no,n/a,conditional,n/a,optional,yes,days,optional,Forecast Criteria: DHM issues a red alert heatwave bulletin ('take action') for the next 3 days in the target city or its associated district,heatwave,,auto_inferred,1,1
Temperature,Heatwave occurrence,event,no,n/a,conditional,n/a,optional,yes,days,optional,72-hour forecast used to confirm heatwave occurrence,heatwave,,auto_inferred,1,1
Temperature,Heatwave occurrence probability,%,no,n/a,conditional,n/a,optional,yes,days,optional,Heatwave occurrence probability with 72-hour lead time less than 75% triggers stop mechanism,heatwave,,auto_inferred,1,1
Temperature,Max daily temp,percentile|°C,no,n/a,yes,days,optional,yes,days,optional,Forecast Criteria: Numerical Weather Prediction (NWP) from DHM forecasts daily maximum temperature above the 99th percentile threshold in the target city/municipality for the next 3 consecutive days,cold wave|heatwave,,auto_inferred,4,2
