document_id,hazard_type,trigger_statement,forecast_variable,unit,operator,source,lead_time_days,variable_resolution_note
16389.0,Flood,60 per cent or greater probability,River discharge,cusecs,>=,CENAOS,5.0,as_extracted
16389.0,Flood,Tropical storm with wind speed of 34 knots or stronger,Wind speed,knots,>=,CENAOS,5.0,as_extracted
16389.0,Flood,Forecast lead time of 3 to 5 days,River discharge,cusecs,>=,CENAOS,5.0,as_extracted
16389.0,Flood,Flood magnitude with a 10-year return period,River discharge,years,>=,GloFAS,3.0,as_extracted
16389.0,Flood,Forecast lead time of 3 days,River discharge,cusecs,>=,GloFAS,60.0,as_extracted
16393.0,Flood,Predicted increase in Sudd inundation extent over the next two months greater than 5% compared to seasonal minimum,Inundation extent,%,>,INFLOW,90.0,as_extracted
16399.0,Flood,Seasonal weather outlook indicating normal to above-normal rainfall,Seasonal precipitation,percentile,>=,DCCMS,0.0,as_extracted
16399.0,Flood,High probability of wetter-than-average conditions expected between November and March,Seasonal precipitation,percentile,>=,DCCMS,0.0,as_extracted
16399.0,Flood,"Anticipated rainfall totals exceeding the seasonal average of 800 mm to 1,200 mm across identified catchment areas",Rainfall total,mm,>=,DCCMS,5.0,as_extracted
16399.0,Flood,"Rainfall forecast of 100 to 150 mm or more within 72 hours in key basins (Shire, Linthipe, Lake Chilwa, etc.)",Rainfall total,mm,>=,DCCMS,5.0,as_extracted
16399.0,Flood,Cyclone forecast predicting 100 mm or more rainfall within 24 hours in flood-prone districts,Rainfall total,mm,>=,DCCMS,5.0,as_extracted
16399.0,Flood,Rainfall forecast combined with exposure analysis showing 30% or more of households at risk,Rainfall total,%,>=,DCCMS,5.0,as_extracted
16399.0,Flood,Inundation modelling projects 30% or more of households affected in flood-risk zones,Affected population,%,>=,DCCMS,0.0,as_extracted
16401.0,Cholera,Phase 1: A confirmed cholera case in any district of the country,Confirmed cholera cases,cases,>=,ZRCS,0.0,as_extracted
16401.0,Cholera,Phase 2: A confirmed cholera case in Harare,Confirmed cholera cases,cases,>=,ZRCS,5.0,as_extracted
16401.0,Cholera,Phase 3: Evidence of community transmission in Harare and spread to additional districts,Confirmed cholera cases,cases,>=,ZRCS,5.0,as_extracted
16410.0,Flood,40% or greater probability that total seasonal precipitation will be above normal (upper tercile),Seasonal precipitation,percentile,>=,CEPMMT,5.0,as_extracted
16410.0,Flood,ECMWF EFI > 0.8 forecast,River discharge,unitless,>,ECMWF,10.0,as_extracted
16410.0,Flood,ONM forecast of precipitation exceeding 25 mm over the next 5 days,Rainfall total,mm,>=,ONM,10.0,as_extracted
