document_id,document_name,hazard_type,statement_key,threshold_index,total_thresholds,threshold_text,source_authority,lead_time,is_conditional,condition_dependency,activation_type,has_stop_mechanism
16389,Honduras - Floods EAP (MDRHN027),Flood,trigger_statement_1,0,3,60 per cent or greater probability,"CENAOS, NOAA",3 to 5 days,False,,dual-trigger,True
16389,Honduras - Floods EAP (MDRHN027),Flood,trigger_statement_1,1,3,Tropical storm with wind speed of 34 knots or stronger,"CENAOS, NOAA",3 to 5 days,False,,dual-trigger,True
16389,Honduras - Floods EAP (MDRHN027),Flood,trigger_statement_1,2,3,Forecast lead time of 3 to 5 days,"CENAOS, NOAA",3 to 5 days,False,,dual-trigger,True
16389,Honduras - Floods EAP (MDRHN027),Flood,trigger_statement_2,0,3,50 per cent or greater probability of river flooding,GEOGLOWS/GloFAS model,3 days,True,Trigger 2 is conditional on Trigger 1 being met first; Trigger 2 formally activates the EAP.,dual-trigger,True
16389,Honduras - Floods EAP (MDRHN027),Flood,trigger_statement_2,1,3,Flood magnitude with a 10-year return period,GEOGLOWS/GloFAS model,3 days,True,Trigger 2 is conditional on Trigger 1 being met first; Trigger 2 formally activates the EAP.,dual-trigger,True
16389,Honduras - Floods EAP (MDRHN027),Flood,trigger_statement_2,2,3,Forecast lead time of 3 days,GEOGLOWS/GloFAS model,3 days,True,Trigger 2 is conditional on Trigger 1 being met first; Trigger 2 formally activates the EAP.,dual-trigger,True
16393,South Sudan - Floods sEAP (MDRSS017),Flood,trigger_statement_1,0,1,Predicted increase in Sudd inundation extent over the next two months greater than 5% compared to seasonal minimum,"INFLOW-AI model developed through the INFLOW project, shared by South Sudan Flood Taskforce Technical Working Group",2 months ahead,False,,single-trigger,False
16399,Malawi - Pluvial Floods sEAP (MDRMW023),Flood,trigger_statement_1,0,3,Seasonal weather outlook indicating normal to above-normal rainfall,"Department of Climate Change and Meteorological Services (DCCMS), Malawi Red Cross Society (MRCS)","Seasonal outlook (months ahead), readiness activated upon forecast issuance",False,,multi-stage,True
16399,Malawi - Pluvial Floods sEAP (MDRMW023),Flood,trigger_statement_1,1,3,High probability of wetter-than-average conditions expected between November and March,"Department of Climate Change and Meteorological Services (DCCMS), Malawi Red Cross Society (MRCS)","Seasonal outlook (months ahead), readiness activated upon forecast issuance",False,,multi-stage,True
16399,Malawi - Pluvial Floods sEAP (MDRMW023),Flood,trigger_statement_1,2,3,"Anticipated rainfall totals exceeding the seasonal average of 800 mm to 1,200 mm across identified catchment areas","Department of Climate Change and Meteorological Services (DCCMS), Malawi Red Cross Society (MRCS)","Seasonal outlook (months ahead), readiness activated upon forecast issuance",False,,multi-stage,True
16399,Malawi - Pluvial Floods sEAP (MDRMW023),Flood,trigger_statement_2,0,5,"Rainfall forecast of 100 to 150 mm or more within 72 hours in key basins (Shire, Linthipe, Lake Chilwa, etc.)","Department of Climate Change and Meteorological Services (DCCMS), Malawi Red Cross Society (MRCS)",3–5 days for forecast-based triggers; 2–5 days for observational triggers,True,Pre-activation (Tier 1) based on forecast triggers must occur before full activation (Tier 2) based on observational data.,multi-stage,True
16399,Malawi - Pluvial Floods sEAP (MDRMW023),Flood,trigger_statement_2,1,5,Cyclone forecast predicting 100 mm or more rainfall within 24 hours in flood-prone districts,"Department of Climate Change and Meteorological Services (DCCMS), Malawi Red Cross Society (MRCS)",3–5 days for forecast-based triggers; 2–5 days for observational triggers,True,Pre-activation (Tier 1) based on forecast triggers must occur before full activation (Tier 2) based on observational data.,multi-stage,True
16399,Malawi - Pluvial Floods sEAP (MDRMW023),Flood,trigger_statement_2,2,5,Rainfall forecast combined with exposure analysis showing 30% or more of households at risk,"Department of Climate Change and Meteorological Services (DCCMS), Malawi Red Cross Society (MRCS)",3–5 days for forecast-based triggers; 2–5 days for observational triggers,True,Pre-activation (Tier 1) based on forecast triggers must occur before full activation (Tier 2) based on observational data.,multi-stage,True
