document_id,document_name,hazard_type,statement_key,threshold_index,total_thresholds,threshold_text,source_authority,lead_time,is_conditional,condition_dependency,activation_type,has_stop_mechanism,forecast_variable,threshold_operator,threshold_value,threshold_unit,probability_value,lead_time_value,timeframe_unit,normalized_source,geographic_scope_type,geographic_scope_label,accumulation_window_value,accumulation_window_unit,persistence_value,persistence_unit,is_observational,referenced_eap_id,within_statement_connector,cross_statement_connector,llm_used,llm_error,original_variable,canonical_variable,subcategory,taxonomy_match_method,taxonomy_match_confidence
16389,Honduras - Floods EAP (MDRHN027),Flood,trigger_statement_1,0,3,60 per cent or greater probability,"CENAOS, NOAA",3 to 5 days,False,,dual-trigger,True,Flood probability,>=,60.0,percent,60.0,5.0,days,CENAOS,national,,,,,,False,MDRHN027,,AND,azure_openai,,Flood probability,Hydrological Flow,Flood probability,llm_disambiguation,1.0
16389,Honduras - Floods EAP (MDRHN027),Flood,trigger_statement_1,1,3,Tropical storm with wind speed of 34 knots or stronger,"CENAOS, NOAA",3 to 5 days,False,,dual-trigger,True,Wind speed,>=,34.0,knots,,5.0,days,NOAA,national,,,,,,False,MDRHN027,,AND,azure_openai,,Wind speed,Wind,Tropical storm wind speed >= 34 knots,llm_disambiguation,0.95
16389,Honduras - Floods EAP (MDRHN027),Flood,trigger_statement_1,2,3,Forecast lead time of 3 to 5 days,"CENAOS, NOAA",3 to 5 days,False,,dual-trigger,True,,,,,,,,,,,,,,,,,,,azure_openai,"1 validation error for NormalizedThreshold
forecast_variable
  Value error, forecast_variable cannot be temporal metadata such as lead time/duration/timeframe [type=value_error, input_value='Lead time', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/value_error",,Other,Other,other_fallback,0.0
16389,Honduras - Floods EAP (MDRHN027),Flood,trigger_statement_2,0,3,50 per cent or greater probability of river flooding,GEOGLOWS/GloFAS model,3 days,True,Trigger 2 is conditional on Trigger 1 being met first; Trigger 2 formally activates the EAP.,dual-trigger,True,River discharge,>=,50.0,percentile,50.0,3.0,days,GloFAS,national,,,,,,False,MDRHN027,,AND,azure_openai,,River discharge,Hydrological Flow,Flood,llm_disambiguation,1.0
16389,Honduras - Floods EAP (MDRHN027),Flood,trigger_statement_2,1,3,Flood magnitude with a 10-year return period,GEOGLOWS/GloFAS model,3 days,True,Trigger 2 is conditional on Trigger 1 being met first; Trigger 2 formally activates the EAP.,dual-trigger,True,Flood return period probability,=,10.0,years,,3.0,days,GloFAS,national,,,,,,False,MDRHN027,,AND,azure_openai,,Flood return period probability,Hydrological Flow,Flood return period probability,llm_disambiguation,0.95
16389,Honduras - Floods EAP (MDRHN027),Flood,trigger_statement_2,2,3,Forecast lead time of 3 days,GEOGLOWS/GloFAS model,3 days,True,Trigger 2 is conditional on Trigger 1 being met first; Trigger 2 formally activates the EAP.,dual-trigger,True,,,,,,,,,,,,,,,,,,,azure_openai,"1 validation error for NormalizedThreshold
forecast_variable
  Value error, forecast_variable cannot be temporal metadata such as lead time/duration/timeframe [type=value_error, input_value='Lead time', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/value_error",,Other,Other,other_fallback,0.0
16393,South Sudan - Floods sEAP (MDRSS017),Flood,trigger_statement_1,0,1,Predicted increase in Sudd inundation extent over the next two months greater than 5% compared to seasonal minimum,"INFLOW-AI model developed through the INFLOW project, shared by South Sudan Flood Taskforce Technical Working Group",2 months ahead,False,,single-trigger,False,Seasonal precipitation,>,5.0,%,,2.0,months,INFLOW,watershed_basin,Sudd,,,,,False,MDRSS017,,,azure_openai,,Seasonal precipitation,Hydrological Flow,Flood,llm_disambiguation,0.9
16399,Malawi - Pluvial Floods sEAP (MDRMW023),Flood,trigger_statement_1,0,3,Seasonal weather outlook indicating normal to above-normal rainfall,"Department of Climate Change and Meteorological Services (DCCMS), Malawi Red Cross Society (MRCS)","Seasonal outlook (months ahead), readiness activated upon forecast issuance",False,,multi-stage,True,,,,,,,,,,,,,,,,,,,azure_openai,"2 validation errors for NormalizedThreshold
threshold_value
  Input should be a valid number [type=float_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/float_type
lead_time_value
  Input should be a valid number [type=float_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/float_type",,Other,Other,other_fallback,0.0
16399,Malawi - Pluvial Floods sEAP (MDRMW023),Flood,trigger_statement_1,1,3,High probability of wetter-than-average conditions expected between November and March,"Department of Climate Change and Meteorological Services (DCCMS), Malawi Red Cross Society (MRCS)","Seasonal outlook (months ahead), readiness activated upon forecast issuance",False,,multi-stage,True,Seasonal precipitation,>=,50.0,percentile,,3.0,months,DCCMS,national,,,,,,False,MDRMW023,,,azure_openai,,Seasonal precipitation,Precipitation,Seasonal forecast,llm_disambiguation,0.95
16399,Malawi - Pluvial Floods sEAP (MDRMW023),Flood,trigger_statement_1,2,3,"Anticipated rainfall totals exceeding the seasonal average of 800 mm to 1,200 mm across identified catchment areas","Department of Climate Change and Meteorological Services (DCCMS), Malawi Red Cross Society (MRCS)","Seasonal outlook (months ahead), readiness activated upon forecast issuance",False,,multi-stage,True,Seasonal precipitation,>=,800.0,mm,,3.0,months,DCCMS,watershed_basin,identified catchment areas,,,,,False,MDRMW023,,,azure_openai,,Seasonal precipitation,Precipitation,Seasonal precipitation totals,llm_disambiguation,0.95
