priority_tier,canonical_variable,dataset_or_source_family,target_data_products,priority_data_products_for_go,normalized_source_examples,records_in_corpus,documents_in_corpus,forecast_or_observational,access_url_or_api,access_notes,suggested_monty_use,go_value,priority_rationale,ingestion_notes
Tier 1,Precipitation; Temperature; Hydrological Flow; Population Impact; Agricultural Impact,ECMWF family forecasts,Medium-range forecast fields; ensemble forecast fields; precipitation accumulation; 2m min/max temperature; wind fields; EFI/SOT extreme indices; SEAS5 seasonal forecasts; Nino3.4/ENSO-style seasonal indicators where available,"For GO, first target: precipitation accumulation, daily max/min temperature, EFI for heavy rainfall or heat/cold extremes, SEAS5 seasonal precipitation tercile probabilities, and any ECMWF-based impact-model inputs named in an EAP",ECMWF,31,11,Forecast,https://ecds.ecmwf.int/how-to-api | https://data.ecmwf.int/forecasts/ | https://www.ecmwf.int/en/computing/software/ecmwf-web-api,ECMWF has multiple access routes. The ECMWF Data Store API is relevant for CDS/ADS/CEMS data-store access; ECMWF Open Data provides a free rolling archive of selected real-time forecast products; older/archive access can involve ECMWF Web API or MARS depending on licence and dataset.,"Candidate cross-hazard forecast feed for rainfall, temperature, extreme forecast index, seasonal outlooks, and forecast-driven impact models",Supports common GO trigger fields across multiple hazards and countries,"Most frequent normalized source in the current corpus and appears across several canonical variables, making it the strongest first candidate for a reusable ingestion pattern",Do not treat ECMWF as one dataset. The ingestion design should map EAP trigger fields to specific ECMWF products and parameters. Keep EAP source fidelity visible; ECMWF should not automatically replace national agency sources.
Tier 1,Hydrological Flow,GloFAS hydrology,Daily river discharge forecasts; probabilistic discharge; threshold exceedance; return-period layers; reporting-point hydrographs; seasonal streamflow outlooks; forecast precipitation inputs shown in GloFAS products,"For GO, first target: river discharge forecast, return-period exceedance probability, flood probability at reporting points or basins, and seasonal streamflow outlook where drought/flood EAPs use it",GloFAS,9,6,Forecast,https://global-flood.emergency.copernicus.eu/general-information/data-and-services/ | https://ewds.climate.copernicus.eu/ | https://emergency.copernicus.eu/data/,"GloFAS forecast data can be accessed through WMS-T, tailored FTP on request, ECMWF MARS, and the Copernicus Early Warning Data Store. Some operational details require registration or request workflows.","Candidate feed for river discharge, flood probability, return-period exceedance, basin or station-level flood monitoring",Supports flood trigger monitoring and return-period style thresholds in GO,"Repeated across several flood EAPs and maps cleanly to one canonical family, making the pipeline concept easier to operationalize","Harmonize GLOFAS, GLoFAS, and GloFAS labels. Station or basin matching will be the hard part, so GO should store gauge/station/basin identifiers separately from the source name."
Tier 2,Hydrological Flow,Pakistan flood forecasting and river flow authority,River discharge; flood flows; gauge-station thresholds; cusecs values; forecast bulletins; observed or forecast flood levels depending on EAP wording,"For GO, target station-specific discharge and alert thresholds first, because the current corpus has detailed Pakistan-style riverine thresholds",FFD,19,2,Forecast and observational mix,To be confirmed from official national service or agreed IFRC/Pakistan data-sharing route,No stable public API was verified in this pass. Treat as a country-specific integration candidate requiring source-owner confirmation.,"Country-specific hydrological feed for river discharge, cusecs thresholds, and gauge-station monitoring",High value for Pakistan-style riverine flood EAPs with detailed station thresholds,"High row count but concentrated in two documents, so it is operationally important but not a global first build",Requires country-specific integration and careful station/gauge metadata.
Tier 2,Precipitation; Temperature; Wind; Hydrological Flow; Alert/Warning Status,National and regional hydromet services,Official rainfall forecasts; rainfall warning levels; heat/cold bulletins; wind warnings; tropical-storm alerts; river bulletins; national forecast products named in EAPs,"For GO, target the specific official product named in each EAP: rainfall amount, alert colour, storm signal, heat/cold bulletin, or hydrological warning. Do not collapse them into one generic met feed.",DCCMS; DNMG; ICPAC; BMKG; INSIVUMEH; DMH; LMS; COPECO; IMN,47,13,Forecast and official alert mix,Varies by agency; investigate per country or regional centre,"These services are essential for source fidelity, but access methods vary: public web bulletins, WMS/API endpoints, email/bulletin feeds, or data-sharing agreements.","Source-family planning for official national or regional forecasts, rainfall warnings, heat/cold bulletins, wind alerts, and hydrological warnings",Preserves the official source named in each EAP and supports country-specific GO trigger review,"These sources appear across many documents and canonical variables, but each individual integration is likely country or region specific","Treat as an integration class rather than one pipeline. Build GO fields that capture agency, product name, alert level, issue time, validity period, and geography."
Tier 2,Temperature; Wind; Alert/Warning Status; Population Impact,"Cyclone, storm, and alert agencies",Storm track forecasts; wind speed forecasts; storm signal levels; official cyclone/typhoon warning bulletins; forecast impact areas; model-consensus products where stated,"For GO, target storm signal level, wind speed, probability/track cone where available, and official bulletin status. These are often categorical or mixed categorical-numeric triggers.",PAGASA; RSMC Nadi; INAM; BMD; INSIVUMEH,29,10,Forecast and official alert mix,Varies by agency; RSMC/NMHS products should be investigated per EAP geography,Access may be through official bulletins or warning pages rather than clean APIs. Model-consensus triggers may require multiple feeds and explicit connector logic.,"Support storm signal levels, wind thresholds, official cyclone alerts, and impact-model triggers","Useful for GO because storm triggers often combine wind, alert status, probability, geography, and short lead time","Strong design relevance and meaningful recurrence, but sources differ by region and hazard governance",Needs clear handling of categorical alert levels and N-of-M model-consensus rules.
Tier 2,Infectious Disease; Alert/Warning Status; Precipitation,Health surveillance and disease alert sources,Confirmed case counts; suspected case counts; outbreak declarations; weekly surveillance reports; district-level disease alerts; health bulletins,"For GO, target disease case count and official outbreak/alert status by admin unit and reporting week. National surveillance feeds should be prioritized over generic global dashboards when the EAP names a national source.",EPHI; SRCS; ZRCS; NDCU; Ministry of Health,19,5,Mostly observational,https://extranet.who.int/publicemergency/ | https://www.who.int/gho/database/en/,"WHO provides emergency dashboards and health data APIs, but EAP disease triggers often depend on national surveillance systems. WHO sources may be useful for context, not necessarily as the official trigger feed.","Support cholera, dengue, AWD, and official disease-alert triggers using case counts or health bulletins",Helps GO represent disease triggers that are not forecast-model based,"Important for public health EAPs, but data availability and update frequency are likely country-specific",Expect manual or semi-automated ingestion before full API integration. Preserve district/week reporting metadata and source authority.
Tier 2,Agricultural Impact; Precipitation; Population Impact; Other,Food security and drought impact sources,Food insecurity projections; IPC/CH phase classifications; FEWS NET projection products; rainfall/seasonal context products; livestock or pasture indicators where named,"For GO, target food insecurity phase/projection by admin unit, IPC/CH classification, and FEWS NET projection indicators used directly as thresholds",FEWSNET; FEWSnet; Cadre Harmonise; Ministry of Livestock,6,3,"Forecast, projection, and assessment mix",https://help.fews.net/fdw/fews-net-api | https://www.ipcinfo.org/ipc-country-analysis/api/,FEWS NET provides an FDW REST API with public and authenticated access patterns. IPC/CH API access requires requesting an API key and documentation from IPC.,"Support drought, food insecurity, livestock, IPC/Cadre-style, and seasonal impact triggers",Connects trigger thresholds to slower-onset anticipatory-action decisions in GO,"Lower frequency than ECMWF/GloFAS, but strategically important for drought and food-security actions",Harmonize FEWSNET and FEWSnet. These products are often monthly/seasonal projections or assessments rather than daily polling feeds.
Tier 2,Population Impact,Humanitarian exposure and operational datasets,Affected-population estimates; exposure layers; population movement indicators; operational capacity indicators; humanitarian baseline datasets; GO operational references,"For GO, target affected-population counts, exposed population, admin-unit baselines, and operational-capacity indicators only when they are explicit trigger conditions",OCHA; NOA; IFRC; IFRC GO Platform; Steering Committee of the Migration Roundtable,13,3,Assessment and operational data,https://centre.humdata.org/ufaqs/about-the-humanitarian-data-exchange-api/ | https://centre.humdata.org/ufaqs/about-the-hdx-humanitarian-api-hapi/,HDX has a CKAN API for dataset discovery/metadata and HAPI for standardized humanitarian indicators. It may not provide every EAP-specific operational indicator directly.,"Support affected-population, movement, exposure, and operational-capacity triggers",Useful for representing non-meteorological decision criteria in GO,"Important for triggers where hazard data alone is not sufficient, but less suited to automated threshold monitoring",Likely requires manual validation and links to existing GO/HDX-style data rather than simple forecast ingestion.
Tier 2,Precipitation,CHIRPS and CHIRPS-GEFS rainfall products,"CHIRPS rainfall estimates; CHIRPS v3 rainfall history; CHIRPS-GEFS 5-day, 10-day, and 15-day bias-corrected rainfall forecasts; rainfall anomalies","For GO, target CHIRPS rainfall history for context/verification and CHIRPS-GEFS rainfall forecasts for rainfall amount/anomaly triggers where a compatible forecast source is acceptable",Not prominent in normalized source field; included as recommended supporting rainfall family,0,0,Observational and forecast support,https://www.chc.ucsb.edu/data | https://www.chc.ucsb.edu/data/chirps | https://www.chc.ucsb.edu/data/chirps-gefs,"CHIRPS is a rainfall dataset and CHIRPS-GEFS provides bias-corrected forecast rainfall products. Use as supporting candidate, not as evidence that the current corpus explicitly names CHIRPS.","Support rainfall accumulation, anomaly, and drought/rainfall verification workflows",Adds a practical rainfall data family for Monty even where EAP text names broader rainfall monitoring rather than an API-ready source,"Not counted in the current normalized source evidence, but recommended in the GO integration plan as a plausible rainfall ingestion family",Clearly label as a recommended supporting source rather than a source observed frequently in this corpus.
Tier 3,Fire Risk; Wind; Humidity,Fire weather and wildfire authorities,Ignition probability; fire danger rating; wind; humidity; wildfire spread or monitoring bulletins,"For GO, target ignition probability and official fire-danger alert level only where an EAP explicitly names them",CONAF,3,1,Forecast and observational mix,To be confirmed from official national fire authority or Copernicus/EFFIS-style source where relevant,No stable source API was verified for the specific corpus source in this pass. CEMS wildfire/EFFIS may be investigated separately if wildfire triggers expand.,"Represent wildfire risk, ignition probability, wind, and humidity conditions where they appear in EAPs",Keeps less common hazards structurally representable in GO,Low frequency in current corpus and likely requires specialist national data,"Keep in taxonomy and review workflow, but not a first ingestion priority."
