canonical_variable,subcategory,primary_unit,accumulation_window_applicable,accumulation_window_units,persistence_applicable,persistence_units,probability_applicable,lead_time_applicable,lead_time_units,geographic_scope_required,example_statement,hazard_types,notes,data_source,row_count,source_eap_count
Agricultural Impact,Crop damage,%,no,,no,,no,yes,months,optional,Ministry of Agriculture Crop Forecast Survey Index (CFSI) projects 40% or greater crop losses,drought,accumulation_window_units and persistence_units set to 'n/a' per domain rules,auto_inferred,0,0
Agricultural Impact,Crop yield,%,no,,no,,no,yes,months,optional,Crop yield reduction predicted to be more than 50% based on LEAP index,drought,accumulation_window_units and persistence_units set to 'n/a' per domain rules,auto_inferred,0,0
Agricultural Impact,Fodder availability,%,no,,no,,no,yes,months,optional,Fodder deficit of 40% or more,drought,accumulation_window_units and persistence_units set to 'n/a' per domain rules,auto_inferred,0,0
Agricultural Impact,Pasture / fodder condition score,index|score,no,,no,,optional,optional,days|weeks,optional,Trigger if pasture condition score falls below 40 indicating poor fodder availability.,drought|other,"Condition score is an index from field or remote sensing data, no accumulation window applies.",llm_proposed,0,0
Alert/Warning Status,Advisory bulletin issuance,bulletin|report,no,,no,,no,no,,optional,Trigger upon issuance of advisory bulletin for potential flood risk.,flood|cyclone|heatwave|other,"Advisory bulletins are discrete events, no forecast probability or lead time applies.",llm_proposed,0,0
Alert/Warning Status,Crisis alert category,level|category,no,,no,,no,no,,optional,Trigger if crisis alert category is raised to orange or red for the affected area (e.g. PAGASA orange warning level).,flood|cyclone|heatwave|other,Crisis alert category captures colour-coded alert systems (red/orange/yellow/green). The colour is the value; the subcategory is the category concept. No forecast probability or lead time applies — alert issuance is a discrete event.,llm_proposed,0,0
Alert/Warning Status,Storm signal level,level|category,no,,no,,no,no,,optional,Trigger if storm signal level 3 is issued for the coastal area.,cyclone,Storm signal levels are categorical warnings without forecast probability or lead time.,llm_proposed,0,0
Fire Risk,Ignition probability,%,no,,no,,yes,yes,days,optional,Ignition probability equal to or greater than 70%,wildfire,Fire Risk canonical variable not in scope; retained as is with domain rules applied where possible,auto_inferred,0,0
Humidity,Relative humidity,%,no,,no,,no,yes,days,optional,Observed Conditions: Relative humidity (Rh) of 45 percent or higher in the respective city where Tmax condition is met,heatwave|wildfire,Humidity canonical variable not in scope; retained as is with domain rules applied where possible,auto_inferred,0,0
Hydrological Flow,Flood extent,%|cm|level|levels|people,no,,no,,optional,yes,days|hours|months,optional,Predicted increase in Sudd inundation extent over the next two months greater than 5% compared to seasonal minimum,flood|volcanic ash,persistence_applicable set to 'conditional' as per original; accumulation_window_units and persistence_units set to 'n/a' per domain rules,auto_inferred,0,0
Hydrological Flow,Return period exceedance,years,no,,no,,optional,optional,hours|days|weeks,always,Trigger if river flow exceeds the 100-year return period level at station X.,flood,"Return period exceedance is a threshold exceedance at a station or basin, geographic scope mandatory.",llm_proposed,0,0
Hydrological Flow,River flow,cm|cusecs|m|metres|unitless|years,no,,yes,days,yes,yes,days|hours,optional,"River flow above 150,000 cusecs at Nowshera station of Kabul River predicted by flood bulletin C and significant flood warnings/advisories with 3-5 days lead time",flood,accumulation_window_units set to 'n/a' per domain rules,auto_inferred,0,0
Hydrological Flow,Water level,m|cm|ft,no,,yes,hours|days,optional,optional,hours|days|weeks,always,Trigger if water level remains above 5 m for 12 consecutive hours at gauge Y.,flood,"Water level persistence applies for flood duration assessment, geographic scope mandatory.",llm_proposed,0,0
Infectious Disease,AWD / Acute Watery Diarrhoea cases,cases|count,no,,no,,no,no,,optional,Trigger if AWD cases exceed 50 in the district within 24 hours.,cholera|other,"AWD cases are real-time counts, no forecast probability or lead time applies.",llm_proposed,0,0
Infectious Disease,Cholera cases,%|cases,yes,weeks,no,,no,no,,optional,One confirmed cholera case reported by EPHI in a neighbouring woreda/district of the 20 identified woredas/districts within the same country or neighboring district of bordering country,cholera,canonical_variable changed from 'Infectious Disease Incidence' to 'Infectious Disease' per domain canonical variables; lead_time_applicable set to 'no' for observational subcategory; persistence_units and accumulation_window_units set per domain rules,auto_inferred,0,0
Infectious Disease,Dengue cases,cases|times average caseload,no,,no,,no,yes,weeks,optional,"Weekly dengue caseload exceeding 1,500 cases in May, June, July, December, and January",dengue,,auto_inferred,0,0
Infectious Disease,Malnutrition rate (GAM),percent|%,no,,no,,no,no,,optional,Trigger if GAM rate exceeds 15% in the region.,other,"Malnutrition rate is a measured prevalence, no forecast probability or lead time applies.",llm_proposed,0,0
Other,ENSO index,K,no,,no,,no,yes,months,optional,Nino3.4 index equal or greater than 0.5K in NDJ average forecast issued in July,drought,,auto_inferred,0,0
Other,Forecast extremity metric,,no,,no,,no,yes,days,optional,Weekly Extreme Forecast Index (EFI) from ECMWF model greater than 0.8,flood,,auto_inferred,0,0
Other,Other,,yes,hours,no,,no,no,,optional,Predicted water levels of Babai and West Rapti rivers to rise to their existing danger levels at Chepang and Kusum stations respectively within next 48 hours,cold wave|drought|flood|heatwave|storm,,auto_inferred,0,0
Population Impact,Affected count,%|IPC phase|index|months|people|tercile,no,,no,,yes,yes,days|hours|months,optional,Vulnerability Assessment Analysis report issued in January projects 20% of the population in drought-induced IPC Phase 3 and 4 in January,cholera|cold wave|drought|flood|population movement|storm,,auto_inferred,0,0
